Division,School,Location,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Auxiliary
Yankee A,Exeter Township,"Exeter, PA",15.81 2,15.94 2,14.28 2,14.41 2,14.35 2,74.790 2,148.10 2
Liberty A,Conrad Weiser,"Robesonia, PA",15.88 1,17.74 1,16.81 2,15.88 1,16.74 1,83.050 1,158.10 1
Liberty A,Eastern York,"Wrightsville, PA",15.28 2,17.54 2,17.14 1,15.21 2,16.41 2,80.180 2,151.40 2
Liberty Open,Phoenixville,"Phoenixville, PA",15.90 1,16.90 1,15.10 1,15.70 1,15.80 1,79.200 1,156.00 1
Exhebition,Warwick,"Lititz, PA",16.60 1,17.40 1,16.10 1,16.50 1,16.70 1,83.300 1,156.00 1
American A,Littlestown,"Littlestown, PA",16.41 1,15.74 3,16.15 1,16.01 1,16.35 1,80.660 1,163.40 2
American A,Big Spring,"Newville, PA",16.01 2,16.61 1,15.81 3,15.74 2,16.15 2,80.320 2,167.40 1
American A,Middletown Area,"Middletown, PA",15.35 4,16.01 2,16.14 2,15.14 4,15.69 3,78.330 3,144.10 4
American A,York Catholic,"York, PA",15.41 3,15.21 4,15.41 4,15.55 3,15.61 4,77.190 4,149.40 3
Yankee A,Manheim Central,"Manheim, PA",16.74 1,16.27 3,16.28 2,16.41 1,17.41 2,83.110 1,149.40 2
Yankee A,Red Lion Area,"Red Lion, PA",16.28 2,16.74 2,16.27 3,16.08 2,17.61 1,82.980 2,158.10 1
Yankee A,Northern York,"Dillsburg, PA",16.08 3,17.01 1,16.61 1,15.88 3,17.21 3,82.790 3,143.40 3
Independence A,Susquehanna Township,"Harrisburg, PA",14.28 1,13.75 1,14.35 1,14.28 1,14.61 1,71.270 1,132.70 1
Exhebition,Eastern York,"Wrightsville, PA",16.01 1,16.14 1,17.21 1,16.34 1,16.35 1,82.050 1,162.10 1
Yankee Open,Warwick,"Lititz, PA",17.20 1,16.60 1,17.00 1,16.90 1,17.60 1,85.300 1,154.00 1
Yankee A,Exeter Township,"Exeter, PA",16.34 1,15.28 1,16.34 1,16.14 1,15.68 1,79.780 1,162.10 1
Yankee A,Blue Mountain,"Schuylkill Haven, PA",15.01 2,14.41 2,15.34 2,15.01 2,15.01 2,74.780 2,152.10 2
Independence A,Pen Argyl,"Pen Argyl, PA",15.41 1,17.74 1,17.07 1,16.41 1,16.34 1,82.970 1,161.40 1
American A,Souderton,"Souderton, PA",16.14 2,16.74 1,16.81 1,16.27 2,16.61 1,82.570 1,144.70 1
American A,Catasauqua,"Easton, PA",16.54 1,16.01 2,16.34 2,16.61 1,15.88 2,81.380 2,140.70 2
Liberty Open,Conestoga Valley,"Lancaster, PA",17.00 1,15.90 1,16.80 1,16.60 1,16.70 1,83.000 1,165.00 1
Exhebition,Conrad Weiser,"Robesonia, PA",16.81 1,16.74 1,17.34 1,16.81 1,17.34 1,85.040 1,169.40 1
Liberty Open,Susquehannock,"Glen Rock, PA",17.10 1,17.90 1,17.70 1,16.40 1,17.20 1,86.300 1,167.00 2
Liberty Open,Camp Hill,"Camp Hill, PA",16.10 2,17.20 2,17.40 2,16.10 2,16.70 2,83.500 2,174.00 1
Independence A,Biglerville,"Biglerville, PA",14.68 1,16.54 1,15.34 1,15.08 1,15.88 1,77.520 1,163.40 1
American A,James Buchanan,"Mercersburg,, PA",15.01 1,16.54 2,16.81 1,16.41 2,16.29 1,81.060 1,171.40 1
American A,Big Spring,"Newville, PA",14.41 3,16.94 1,16.41 2,16.66 1,16.27 2,80.690 2,164.10 2
American A,York Catholic,"York, PA",14.61 2,15.87 3,16.01 3,15.54 3,16.07 3,78.100 3,159.40 3
Liberty A,Greencastle-Antrim,"Greencastle, PA",15.48 1,15.28 1,15.28 1,16.61 1,16.28 1,78.930 1,171.40 1
Exhebition,South Western,"Hanover, PA",15.42 1,16.74 1,17.21 1,17.41 1,16.74 1,83.520 1,165.40 1
American A,Hazleton Area,"Hazleton, PA",16.54 1,17.21 2,17.74 1,17.94 1,17.88 2,87.310 1,171.40 1
American A,Catasauqua,"Catasauqua, PA",16.34 2,17.54 1,17.47 2,17.27 2,18.00 1,86.620 2,149.40 3
American A,Saucon Valley,"Hellertown, PA",16.00 3,16.81 4,17.14 3,16.74 3,17.08 4,83.770 3,142.20 5
American A,Souderton,"Souderton, PA",15.94 4,16.54 5,16.81 5,16.66 4,16.75 5,82.700 4,142.70 4
American A,Wilson Area,"Easton, PA",15.54 5,16.14 6,16.99 4,15.94 6,17.59 3,82.200 5,150.00 2
American A,Northampton Area,"Northampton, PA",15.34 6,17.01 3,16.28 6,16.41 5,16.28 6,81.320 6,140.80 6
Independence A,Pen Argyl,"Pen Argyl, PA",16.86 1,17.94 1,17.67 1,17.21 1,17.74 1,87.420 1,158.00 1
Independence A,Palisades,"Kintnersville, PA",15.74 3,17.34 2,17.01 3,16.81 2,16.74 2,83.640 2,142.70 3
Independence A,Lackawanna Trail,"Factoryville, PA",15.68 4,15.94 4,17.06 2,16.54 3,16.34 3,81.560 3,148.70 2
Independence A,Dieruff,"Allentown, PA",16.45 2,16.21 3,15.74 4,15.54 4,14.95 4,78.890 4,138.10 4
Liberty A,Bangor Area,"Bangor, PA",16.74 1,16.94 1,16.41 1,16.68 1,18.14 1,84.910 1,172.10 1
American Open,Sun Valley,"Aston, PA",17.20 1,18.20 1,18.70 1,17.60 1,18.10 1,89.800 1,177.00 1
Liberty Open,Whitehall,"Whitehall, PA",17.70 1,18.50 1,18.20 1,17.70 1,18.00 1,90.100 1,173.00 1
Patriot Open,Hempfield,"Landisville, PA",18.10 1,18.40 1,18.80 1,18.10 1,18.60 1,92.000 1,176.00 1
Exhebition,Nazareth Area,"Nazareth, PA",18.80 1,18.60 1,19.10 1,18.60 1,18.70 1,93.800 1,186.00 1
Independence A,Columbia Borough,"Columbia, PA",14.13 1,17.07 1,16.73 1,16.67 1,16.13 1,80.730 1,148.80 1
American A,Pottsgrove,"Pottstown, PA",15.34 1,17.81 1,16.87 1,16.94 1,17.33 1,84.290 1,163.40 1
Liberty A,Conrad Weiser,"Robesonia, PA",16.41 1,17.87 1,17.34 1,17.54 1,16.95 2,86.110 1,160.70 2
